"metric","value"
"tcga_expression_n",469
"tcga_os_n",453
"tcga_os_events",213
"tcga_mv_n",417
"tcga_mv_events",194
"tcga_composition_n",409
"tcga_composition_events",190
"pearson_r",-0.39679739218966
"pearson_p",3.89466889025648e-19
"spearman_rho",-0.396397251525864
"spearman_p",4.25687198369161e-19
"partial_r",-0.218160267869437
"partial_p",2.2623350203544e-06
"curated_r",-0.332989562049463
"curated_r_p",1.31674110460276e-13
"logrank_p",8.53456601095035e-05
"geo_n",49
"geo_responders",10
"fisher_p",0.784943907919897
"loocv_auc",0.356410256410256
"loocv_auc_ci_low",0.156410256410256
"loocv_auc_ci_high",0.556410256410256
