"model","n","events","term","estimate","conf.low","conf.high","p.value"
"Unadjusted",453,213,"gln_z",0.999768343179963,0.856571669992154,1.16690380389765,0.997656235987081
"Unadjusted",453,213,"ifng_z",0.684731439269406,0.592051217719929,0.791919904716329,3.32530023528386e-07
"Unadjusted",453,213,"gln_z:ifng_z",1.06304254808436,0.919316833963495,1.22923829662252,0.409436127805498
"Clinical covariates",417,194,"gln_z",0.965793669222002,0.82182387468918,1.13498456328258,0.672592388958045
"Clinical covariates",417,194,"ifng_z",0.648240004974784,0.554748766091338,0.757487226173515,4.89011536386946e-08
"Clinical covariates",417,194,"age10",1.25393469995404,1.13515256958862,1.38514616790116,8.32876967048556e-06
"Clinical covariates",417,194,"genderMale",0.96268407816644,0.712191372094236,1.30128034495838,0.804659483819579
"Clinical covariates",417,194,"stageLate (III/IV)",1.78342265328485,1.32951459259942,2.39229894726538,0.000113157276493659
"Clinical covariates",417,194,"gln_z:ifng_z",1.02740149889882,0.882415097378327,1.19621008647248,0.727624771850481
"Clinical + purity/sample type",409,190,"gln_z",0.950599001283523,0.806667777431102,1.12021142597135,0.545306721066141
"Clinical + purity/sample type",409,190,"ifng_z",0.675843151753637,0.564137817949347,0.809667338794333,2.13310162404338e-05
"Clinical + purity/sample type",409,190,"age10",1.26577693568895,1.14447672784432,1.39993344726188,4.52911899562788e-06
"Clinical + purity/sample type",409,190,"genderMale",0.984180683711369,0.722532277576674,1.3405790277484,0.919449358235917
"Clinical + purity/sample type",409,190,"stageLate (III/IV)",1.8015736927808,1.33768699551779,2.42632826767036,0.00010648641502255
"Clinical + purity/sample type",409,190,"purity",1.36990349498573,0.595739525276013,3.15009413670284,0.458799145106747
"Clinical + purity/sample type",409,190,"sample_typeMetastatic",0.481608012721868,0.303766962147239,0.763566505976644,0.00188890934491626
"Clinical + purity/sample type",409,190,"gln_z:ifng_z",1.01194863528962,0.866734071399591,1.18149277183822,0.880535652201261
"Curated signatures + clinical covariates",417,194,"curated_gln_z",0.947389917232386,0.807466486244306,1.1115602573777,0.507443426963275
"Curated signatures + clinical covariates",417,194,"curated_ifng_z",0.635650669190195,0.543470283649513,0.743466175424813,1.44243988500935e-08
"Curated signatures + clinical covariates",417,194,"age10",1.23996131959667,1.12344535865048,1.36856150791598,1.93829578801529e-05
"Curated signatures + clinical covariates",417,194,"genderMale",0.948714279354071,0.701922405970017,1.28227675337772,0.73198125243841
"Curated signatures + clinical covariates",417,194,"stageLate (III/IV)",1.79826719176086,1.33929553183827,2.41452675387107,9.49839649607377e-05
"Curated signatures + clinical covariates",417,194,"curated_gln_z:curated_ifng_z",0.991953773059266,0.855368528443,1.15034894921562,0.914881708793482
