"model","term","odds_ratio","conf.low","conf.high","p.value"
"Candidate signatures - additive","(Intercept)",0.270289832057129,0.127768789500751,0.513631002704412,2.7126274013467e-05
"Candidate signatures - additive","gln_z",0.697069854272527,0.321754663863101,1.40479441388851,0.318620215142099
"Candidate signatures - additive","ifng_z",1.1350301160933,0.563781678630101,2.35131423854306,0.721959146543182
"Candidate signatures - exploratory interaction","(Intercept)",0.248013341074921,0.104120080839449,0.49263392656905,2.00938394800954e-05
"Candidate signatures - exploratory interaction","gln_z",0.732002234477856,0.319874123063449,1.59808759575786,0.427231790258898
"Candidate signatures - exploratory interaction","ifng_z",1.01669124558137,0.435679789449478,2.20978086172568,0.966863424678434
"Candidate signatures - exploratory interaction","gln_z:ifng_z",0.680213843369975,0.278733565678621,1.42552443042187,0.323249214011055
"Curated signatures - additive","(Intercept)",0.275441969496567,0.132578424936329,0.519148849151536,2.96389607180592e-05
"Curated signatures - additive","curated_gln_z",0.982009308115696,0.463284288288874,1.97591286864018,0.95972413629615
"Curated signatures - additive","curated_ifng_z",1.36156531751043,0.653011871293155,2.92330103413352,0.406853998200629
