"metric","value"
"gse65904_available",214
"gse65904_dss_eligible",210
"gse65904_mv_n",203
"gse65904_mv_events",99
"gse65904_gln_hr",0.82316707275253
"gse65904_gln_p",0.0835621437758547
"gse65904_ifng_hr",0.667471962546754
"gse65904_ifng_p",0.000389956775279919
"gse65904_interaction_hr",1.25232955095938
"gse65904_interaction_p",0.0486485752414445
"epic_partial_r",-0.146409249007945
"epic_partial_p",0.00205273543336394
"mcp_partial_r",0.0192054683772341
"mcp_partial_p",0.680869196523607
"single_cell_cells",4097
"single_cell_patients",19
"single_cell_mapped_gln",21
"single_cell_mapped_ifng",23
"response_detectable_or_80pct",3.25
