"model","n","events","term","hazard_ratio","conf.low","conf.high","p.value"
"Candidate signatures + clinical covariates",203,99,"gln_z",0.82316707275253,0.660333219314037,1.02615468954882,0.0835621437758547
"Candidate signatures + clinical covariates",203,99,"ifng_z",0.667471962546754,0.53384392362787,0.834548827976502,0.000389956775279919
"Candidate signatures + clinical covariates",203,99,"age10",0.986048667146706,0.851696746712654,1.14159409171705,0.850880330601081
"Candidate signatures + clinical covariates",203,99,"genderMale",1.22162996245077,0.800053579176415,1.86534977656589,0.353935193647485
"Candidate signatures + clinical covariates",203,99,"stageIn-transit",0.541101101995736,0.22972831148755,1.27450726767243,0.160009356368222
"Candidate signatures + clinical covariates",203,99,"stageLocal",0.177574972473902,0.0570349674646452,0.552869095062666,0.00285725260660461
"Candidate signatures + clinical covariates",203,99,"stagePrimary",0.0415781453101517,0.00541982310099359,0.318966529943601,0.00221971021125537
"Candidate signatures + clinical covariates",203,99,"stageRegional",0.282848475603676,0.160078796171612,0.499774249086407,1.37328851154764e-05
"Candidate signatures + clinical covariates",203,99,"gln_z:ifng_z",1.25232955095938,1.00133549655251,1.56623759929186,0.0486485752414445
"Curated signatures + clinical covariates",203,99,"curated_gln_z",0.998433080687293,0.811403349332008,1.22857345539847,0.988177621479842
"Curated signatures + clinical covariates",203,99,"curated_ifng_z",0.735434193654953,0.590885386169783,0.915344102014229,0.00591989144456236
"Curated signatures + clinical covariates",203,99,"age10",0.994060662154995,0.857870300038878,1.15187179227355,0.936841983235351
"Curated signatures + clinical covariates",203,99,"genderMale",1.25754868948239,0.819556076602453,1.92961622952615,0.294159440450993
"Curated signatures + clinical covariates",203,99,"stageIn-transit",0.526647469378207,0.229815789066766,1.20686902378971,0.129632911499592
"Curated signatures + clinical covariates",203,99,"stageLocal",0.228510631668911,0.0729209474053902,0.716078310055868,0.0113081009412072
"Curated signatures + clinical covariates",203,99,"stagePrimary",0.0429914570704501,0.00562048124089168,0.328844684614076,0.00243467763612934
"Curated signatures + clinical covariates",203,99,"stageRegional",0.319341321454684,0.182810686396755,0.557838721567396,6.05010609072861e-05
"Curated signatures + clinical covariates",203,99,"curated_gln_z:curated_ifng_z",1.08493167269048,0.880066572635291,1.33748601640702,0.445196184557939
