"signature","comparison","paired_patients","median_difference","conf.low","conf.high","p.value","p.adjusted"
"gln_score","Malignant vs T cell",14,0.423567713173231,0.319541361550003,0.537305354290491,0.00169627235997648,0.0101776341598589
"gln_score","Malignant vs NK cell",9,0.398296463278481,0.150606864743625,0.67253948129605,0.00915168885265007,0.0366067554106003
"gln_score","Malignant vs B cell",11,0.453752462326124,0.25700122750642,0.561401124787332,0.00385729282994253,0.0192864641497127
"gln_score","Malignant vs Macrophage",11,0.215499793834355,0.116573178388776,0.268321102079962,0.045446946073126,0.136340838219378
"gln_score","Malignant vs Endothelial",7,0.213885550063076,-0.0693678098400375,0.408552712206874,0.108319380730004,0.216638761460008
"gln_score","Malignant vs CAF",9,0.0210854234008626,-0.0856982649285101,0.277380669368962,0.47719661998877,0.47719661998877
"ifng_score","Malignant vs T cell",14,-0.356049113714863,-0.441833882920855,-0.227668243145959,0.0010970505857231,0.00658230351433862
"ifng_score","Malignant vs NK cell",9,-0.21699510687479,-0.502083742959699,-0.0125437558695343,0.0243902414330541,0.0975609657322162
"ifng_score","Malignant vs B cell",11,-0.0728213918683911,-0.230495621729726,0.0290832828788588,0.0829604137452953,0.248881241235886
"ifng_score","Malignant vs Macrophage",11,-0.805869686448395,-1.02005750568901,-0.61721116377474,0.00509932237899739,0.0254966118949869
"ifng_score","Malignant vs Endothelial",7,-0.125049084384891,-0.34602006740115,0.0517232106409208,0.352542137499713,0.352542137499713
"ifng_score","Malignant vs CAF",9,-0.142370222121432,-0.480703335884932,0.116459012960791,0.123534253752569,0.248881241235886
"curated_gln_score","Malignant vs T cell",14,0.525979428600558,0.451639717420237,0.590680376233827,0.0010970505857231,0.00658230351433862
"curated_gln_score","Malignant vs NK cell",9,0.420024100001482,0.211226198158738,0.521994446639277,0.00915168885265007,0.0366067554106003
"curated_gln_score","Malignant vs B cell",11,0.552584332143501,0.451379685035731,0.781709120642137,0.00385729282994253,0.0192864641497127
"curated_gln_score","Malignant vs Macrophage",11,0.226396592995293,0.131693071592391,0.469391639040345,0.0366712945648324,0.110013883694497
"curated_gln_score","Malignant vs Endothelial",7,0.342876629837062,-0.343547725789361,0.546504542537651,0.352542137499713,0.705084274999426
"curated_gln_score","Malignant vs CAF",9,-0.0437489889774696,-0.179471129466627,0.182541784481425,0.905695442034309,0.905695442034309
"curated_ifng_score","Malignant vs T cell",14,-0.0879849147634902,-0.139068309651469,0.0364587968710022,0.167253563317042,0.334507126634084
"curated_ifng_score","Malignant vs NK cell",9,-0.137558119712529,-0.283355261326852,-0.0613253992397992,0.0755605675259413,0.302242270103765
"curated_ifng_score","Malignant vs B cell",11,0.00383413486640097,-0.16082775258054,0.082411215439059,0.824098168245978,0.824098168245978
"curated_ifng_score","Malignant vs Macrophage",11,-0.6170567648617,-0.70823824793771,-0.32666371298851,0.00385729282994253,0.0231437569796552
"curated_ifng_score","Malignant vs Endothelial",7,-0.105084665327546,-0.37416510225521,-0.0751191584071029,0.108319380730004,0.324958142190012
"curated_ifng_score","Malignant vs CAF",9,-0.36457849781094,-0.414493157629407,-0.197013880618036,0.00915168885265007,0.0457584442632504
